Value,Condition,Bio Replicate,Tech Replicate,Reading Replicate
40170.72,WT,1,1,1
45158.71,WT,2,1,1
49697.3,WT,3,1,1
45410.6,WT,4,1,1
41395.22,WT,1,1,2
44979.08,WT,2,1,2
49458.85,WT,3,1,2
42810.08,WT,4,1,2
156707.2,5-GFP,1,1,1
162883.4,5-GFP,2,1,1
160945,5-GFP,3,1,1
153382.9,5-GFP,4,1,1
153393.4,5-GFP,1,1,2
159688.5,5-GFP,2,1,2
158504.4,5-GFP,3,1,2
149365.5,5-GFP,4,1,2
149149,8-GFP,1,1,1
142672,8-GFP,2,1,1
146263.6,8-GFP,3,1,1
145540.3,8-GFP,4,1,1
145799.8,8-GFP,1,1,2
142838,8-GFP,2,1,2
147003.6,8-GFP,3,1,2
147729.4,8-GFP,4,1,2
162222.8,10-GFP,1,1,1
162725.4,10-GFP,2,1,1
152887.2,10-GFP,3,1,1
156792.2,10-GFP,4,1,1
156533.4,10-GFP,1,1,2
157508.1,10-GFP,2,1,2
152007.4,10-GFP,3,1,2
154112.3,10-GFP,4,1,2
153301.5,15-GFP,1,1,1
128988,15-GFP,2,1,1
151600.2,15-GFP,3,1,1
143262,15-GFP,4,1,1
148802.1,15-GFP,1,1,2
128820.5,15-GFP,2,1,2
156816.8,15-GFP,3,1,2
143856.5,15-GFP,4,1,2
119630.3,16-GFP,1,1,1
121967.1,16-GFP,2,1,1
118605.7,16-GFP,3,1,1
119294.6,16-GFP,4,1,1
116653,16-GFP,1,1,2
119230.7,16-GFP,2,1,2
121232.2,16-GFP,3,1,2
115052.5,16-GFP,4,1,2
44921.3,15-blank,1,1,1
49140.04,15-blank,2,1,1
50545.3,15-blank,3,1,1
39251.43,15-blank,4,1,1
44016.81,15-blank,1,1,2
46552.57,15-blank,2,1,2
49531.43,15-blank,3,1,2
41216.38,15-blank,4,1,2
44591.63,WT,1,2,1
44700.83,WT,2,2,1
46650.11,WT,3,2,1
42093.55,WT,4,2,1
45984.04,WT,1,2,2
45663.16,WT,2,2,2
47776.09,WT,3,2,2
43603.03,WT,4,2,2
151976.2,5-GFP,1,2,1
162026,5-GFP,2,2,1
161430,5-GFP,3,2,1
150056.4,5-GFP,4,2,1
152529.7,5-GFP,1,2,2
157312.3,5-GFP,2,2,2
159963.5,5-GFP,3,2,2
147312.3,5-GFP,4,2,2
145887.6,8-GFP,1,2,1
143649.3,8-GFP,2,2,1
148071.6,8-GFP,3,2,1
148962.3,8-GFP,4,2,1
148760.1,8-GFP,1,2,2
142391.5,8-GFP,2,2,2
146004.9,8-GFP,3,2,2
145804.2,8-GFP,4,2,2
161467.5,10-GFP,1,2,1
160027.6,10-GFP,2,2,1
152918.9,10-GFP,3,2,1
158793.7,10-GFP,4,2,1
160841.8,10-GFP,1,2,2
162894.2,10-GFP,2,2,2
151580,10-GFP,3,2,2
154731.2,10-GFP,4,2,2
147154.6,15-GFP,1,2,1
132496.7,15-GFP,2,2,1
145577.2,15-GFP,3,2,1
140443.9,15-GFP,4,2,1
149296.9,15-GFP,1,2,2
135767.3,15-GFP,2,2,2
151576,15-GFP,3,2,2
142919.4,15-GFP,4,2,2
116636.8,16-GFP,1,2,1
121112,16-GFP,2,2,1
120989.8,16-GFP,3,2,1
111184.7,16-GFP,4,2,1
121587.2,16-GFP,1,2,2
122987.2,16-GFP,2,2,2
118658.3,16-GFP,3,2,2
109679.1,16-GFP,4,2,2
42626.46,15-blank,1,2,1
51505.12,15-blank,2,2,1
44436.39,15-blank,3,2,1
56286.35,15-blank,4,2,1
42231.2,15-blank,1,2,2
52969.18,15-blank,2,2,2
45458.6,15-blank,3,2,2
55975.39,15-blank,4,2,2
47551,WT,1,3,1
43341.39,WT,2,3,1
48045.23,WT,3,3,1
44138.68,WT,4,3,1
45817.07,WT,1,3,2
44625.06,WT,2,3,2
49413.39,WT,3,3,2
42413.1,WT,4,3,2
158240.1,5-GFP,1,3,1
153924.7,5-GFP,2,3,1
157428.4,5-GFP,3,3,1
149684,5-GFP,4,3,1
159295.9,5-GFP,1,3,2
151040.7,5-GFP,2,3,2
155212.2,5-GFP,3,3,2
144731.4,5-GFP,4,3,2
144732.1,8-GFP,1,3,1
148609.4,8-GFP,2,3,1
148783.8,8-GFP,3,3,1
146053.7,8-GFP,4,3,1
143685.9,8-GFP,1,3,2
143130.3,8-GFP,2,3,2
149069.9,8-GFP,3,3,2
145829.4,8-GFP,4,3,2
160570.3,10-GFP,1,3,1
164877.6,10-GFP,2,3,1
153907.4,10-GFP,3,3,1
152122.6,10-GFP,4,3,1
159426.4,10-GFP,1,3,2
165808.5,10-GFP,2,3,2
156079,10-GFP,3,3,2
147275.4,10-GFP,4,3,2
142359.3,15-GFP,1,3,1
126994.3,15-GFP,2,3,1
150816.2,15-GFP,3,3,1
137860.3,15-GFP,4,3,1
152858.2,15-GFP,1,3,2
136637.1,15-GFP,2,3,2
154328.7,15-GFP,3,3,2
134576.3,15-GFP,4,3,2
119231.8,16-GFP,1,3,1
115823,16-GFP,2,3,1
116995.2,16-GFP,3,3,1
110299.2,16-GFP,4,3,1
118354.9,16-GFP,1,3,2
117235.9,16-GFP,2,3,2
114919.8,16-GFP,3,3,2
107343.7,16-GFP,4,3,2
41721.48,15-blank,1,3,1
46519.7,15-blank,2,3,1
43598.1,15-blank,3,3,1
38553.38,15-blank,4,3,1
41414.1,15-blank,1,3,2
42992.88,15-blank,2,3,2
45176.8,15-blank,3,3,2
40454.7,15-blank,4,3,2
